Date,ER_Y/USD,R_US,RGDP_US,M0_US,R_J,RGDP_J,M0_J,ValueNP,Actual
1/1/1994,111.85,3.05,10195.34,397800,2.48,446312.9,444684,-8.7,USDD
1/4/1994,103.15,3.56,10333.5,406900,2.27,443745.8,415721,-4.1,USDD
1/7/1994,99.05,4.26,10393.9,415000,2.11,448947.2,406934,-0.6,USDD
1/10/1994,98.45,4.76,10512.96,418700,2.13,447169.5,418588,1.29,USDA
1/1/1995,99.74,5.53,10550.25,426200,2.27,452118.9,462391,-10.39,USDD
1/4/1995,89.35,6.05,10581.72,433500,2.22,456278.2,432723,-4.75,USDD
1/7/1995,84.6,5.85,10671.74,435900,1.37,461710.8,425895,13.7,USDA
1/10/1995,98.3,5.76,10744.2,436600,0.8,462860.2,437732,4.53,USDA
1/1/1996,102.83,5.56,10824.67,441700,0.46,466624.6,490471,3.45,USDA
1/4/1996,106.28,5.22,11005.22,443400,0.68,472495.6,470437,3.14,USDA
1/7/1996,109.42,5.4,11103.94,449800,0.65,473144.8,467351,1.55,USDA
1/10/1996,110.97,5.24,11219.24,452500,0.51,478467.5,472257,5.03,USDA
1/1/1997,116,5.25,11291.67,462500,0.52,479690.1,526309,8.05,USDA
1/4/1997,124.05,5.51,11479.33,465500,0.58,476018.8,506044,-9.65,USDD
1/7/1997,114.4,5.52,11622.91,473100,0.63,477004.9,502088,6.6,USDA
1/10/1997,121,5.5,11722.72,477700,0.54,477205.4,506656,8.95,USDA
1/1/1998,129.95,5.56,11839.88,491200,0.98,471375.5,578436,2.1,USDA
1/4/1998,132.05,5.45,11949.49,494100,0.73,469288.8,551600,8.8,USDA
1/7/1998,140.85,5.54,12099.19,502400,0.55,470145.7,549294,-5.6,USDD
1/10/1998,135.25,5.07,12294.74,512600,0.63,473941.1,553103,-19.65,USDD
1/1/1999,115.6,4.63,12410.78,527900,0.68,467414.3,601386,4.8,USDA
1/4/1999,120.4,4.74,12514.41,535200,0.23,469177.5,585970,0.7,USDA
1/7/1999,121.1,4.99,12679.98,548800,0.11,471678.1,584608,-14.25,USDD
1/10/1999,106.85,5.2,12888.28,564700,0.16,471848.9,594261,-4.65,USDD
1/1/2000,102.2,5.45,12935.25,601900,0.16,479860.3,686808,3.65,USDA
1/4/2000,105.85,6.02,13170.75,578600,0.07,482133.6,649807,-0.45,USDD
1/7/2000,105.4,6.54,13183.89,584200,0.1,482256.8,622152,2.45,USDA
1/10/2000,107.85,6.51,13262.25,585300,0.37,486943.8,618261,7.05,USDA
1/1/2001,114.9,5.98,13219.25,598700,0.5,490559.5,679588,9.7,USDA
1/4/2001,124.6,4.8,13301.39,601700,0.11,486877.3,657361,-0.55,USDD
1/7/2001,124.05,3.77,13248.14,616000,0.01,481572.5,669739,-4.75,USDD
1/10/2001,119.3,2.49,13284.88,635200,0.01,479930.3,706356,12.5,USDA
1/1/2002,131.8,1.73,13394.91,653800,0.03,480740.5,794424,1.4,USDA
1/4/2002,133.2,1.75,13477.36,663400,0.03,484636,871493,-13.75,USDD
1/7/2002,119.45,1.73,13531.74,679300,0.02,486158.3,854332,2.1,USDA
1/10/2002,121.55,1.75,13549.42,681900,0.01,487510,857469,-1.65,USDD
1/1/2003,119.9,1.24,13619.43,699300,0.01,487815.1,949444,0.25,USDA
1/4/2003,120.15,1.26,13741.11,709600,0.01,491169.1,966459,-0.3,USDD
1/7/2003,119.85,1.01,13970.16,717600,0.01,492616.9,1027632,-8.65,USDD
1/10/2003,111.2,1.01,14131.38,724800,0.01,497976.4,1036332,-4.1,USDD
1/1/2004,107.1,1,14212.34,736400,0.02,501632.5,1074991,-2.8,USDD
1/4/2004,104.3,1,14323.02,741200,0.01,501716.9,1081238,4.08,USDA
1/7/2004,108.38,1.26,14457.83,757300,0,504785.3,1072957,2.62,USDA
1/10/2004,111,1.76,14605.6,763900,0,503804.6,1085201,-6.88,USDD
1/1/2005,104.12,2.28,14767.85,775200,0.02,506399.9,1119769,3.23,USDA
1/4/2005,107.35,2.79,14839.71,775500,0.01,510355.4,1103301,3.05,USDA
1/7/2005,110.4,3.26,14956.29,782900,0,515531.7,1091586,2.75,USDA
1/10/2005,113.15,3.78,15041.23,787200,0.01,516422.7,1103950,4.82,USDA
1/1/2006,117.97,4.29,15244.09,804200,0.01,517216.9,1130466,-0.57,USDD
1/4/2006,117.4,4.79,15281.53,809200,0.05,518065.1,1092791,-2.45,USDD
1/7/2006,114.95,5.24,15304.52,811500,0.06,517031.4,914229,2.85,USDA
1/10/2006,117.8,5.25,15433.64,809800,0.34,523953.5,869660,1.15,USDA
1/1/2007,118.95,5.25,15478.96,823000,0.4,527423.9,904664,-1.3,USDD
1/4/2007,117.65,5.25,15577.78,823000,0.55,527670.7,884022,5.58,USDA
1/7/2007,123.23,5.26,15671.61,828900,0.66,524813,876336,-8.18,USDD
1/10/2007,115.05,4.76,15767.15,829000,0.69,527030.2,875728,-1.05,USDD
1/1/2008,114,3.94,15702.91,830600,0.72,528894.5,907835,-13.9,USDD
1/4/2008,100.1,2.28,15792.77,830200,0.66,525893.1,883867,6.3,USDA
1/7/2008,106.4,2.01,15709.56,847000,0.69,519345.1,880155,-2.1,USDD
1/10/2008,104.3,0.97,15366.61,1136400,0.69,506484.8,883741,-13.55,USDD
1/1/2009,90.75,0.15,15187.48,1712000,0.63,482135.6,924351,7.35,USDA
1/4/2009,98.1,0.15,15161.77,1753200,0.5,491601.4,944658,-2.15,USDD
1/7/2009,95.95,0.16,15216.65,1673600,0.4,491389.6,936392,-6.18,USDD
1/10/2009,89.77,0.12,15379.16,1936300,0.38,497443.4,923942,2.29,USDA
1/1/2010,92.06,0.11,15456.06,1995000,0.33,502681.6,972143,1.19,USDA
1/4/2010,93.25,0.2,15605.63,2014400,0.28,508719.1,964571,-4.65,USDD
1/7/2010,88.6,0.18,15726.28,1994300,0.2,517953,970240,-5.2,USDD
1/10/2010,83.4,0.19,15808,1961700,0.15,513716.7,977173,-1.95,USDD
1/1/2011,81.45,0.17,15769.91,2047900,0.16,508274.7,1040238,1.68,USDA
1/4/2011,83.13,0.1,15876.84,2496600,0.14,503914.8,1127432,-2.41,USDD
1/7/2011,80.72,0.07,15870.68,2684800,0.13,516164.3,1134780,-4.09,USDD
1/10/2011,76.63,0.07,16048.7,2637800,0.13,515427,1140181,1.09,USDA
1/1/2012,77.72,0.08,16179.97,2640800,0.13,522513.1,1180195,4.43,USDA
1/4/2012,82.15,0.14,16253.73,2639800,0.13,517829.6,1124618,-2.85,USDD
1/7/2012,79.3,0.16,16282.15,2647800,0.11,515875.8,1202142,-1.73,USDD
1/10/2012,77.57,0.16,16300.04,2611800,0.13,515500.8,1243261,8.98,USDA
1/1/2013,86.55,0.14,16441.49,2741700,0.11,522601.2,1319837,7.6,USDA
1/4/2013,94.15,0.15,16464.4,3011700,0.08,527330.1,1347413,3.99,USDA
1/7/2013,98.14,0.09,16594.74,3290900,0.04,532383.9,1635375,-0.39,USDD
1/10/2013,97.75,0.09,16712.76,3589500,0.07,531773.7,1817012,7.55,USDA
1/1/2014,105.3,0.07,16654.25,3728500,0.07,536107.1,1934594,-2.45,USDD
1/4/2014,102.85,0.09,16868.11,3930700,0.07,526358.9,2085929,-1.55,USDD
1/7/2014,101.3,0.09,17064.62,3989100,0.05,526822.5,2332465,8.07,USDA
1/10/2014,109.37,0.09,17141.24,4001500,0.06,529340,2458169,11.27,USDA
1/1/2015,120.64,0.11,17280.65,4017100,0.05,537515.2,2674016,-0.53,USDD
1/4/2015,120.11,0.12,17380.88,4059400,0.04,538260.5,2821182,2.34,USDA
1/7/2015,122.45,0.13,17437.08,3961200,0.03,538675,3130770,-2.5,USDD
1/10/2015,119.95,0.12,17462.58,4060500,0.04,537954.4,3321941,0.55,USDA
1/1/2016,120.5,0.34,17565.47,3792700,0.04,541886.7,3463793,-7.87,USDD
1/4/2016,112.63,0.37,17618.58,3872900,0.01,541087.9,3626050,-9.73,USDD
1/7/2016,102.9,0.39,17724.49,3772500,0.01,541935.1,3927119,-1.82,USDD
1/10/2016,101.08,0.4,17812.56,3572100,0,542964.6,4075081,15.72,USDA
1/1/2017,116.8,0.65,17896.62,3595500,0,547352.5,4263922,-4.75,USDD
1/4/2017,112.05,0.9,17996.8,3821700,0,549477.7,4362634,-0.11,USDD
1/7/2017,111.94,1.15,18126.23,3795400,0,553506.5,4594854,0.72,USDA
1/10/2017,112.66,1.15,18296.69,3829900,0,554538.8,4711205,0.24,USDA
1/1/2018,112.9,1.41,18436.26,3824800,0,555199,4741265,-6.71,USDD
1/4/2018,106.19,1.69,18590,3727100,0,557024.5,4759328,4.26,USDA
1/7/2018,110.45,1.91,18679.6,3618300,0,552593.4,4933638,3.02,USDA
1/10/2018,113.47,2.19,18721.28,3520900,0,552691.8,4988216,-2.64,USDD
1/1/2019,110.83,2.4,18833.2,3346900,0,554879.1,4970034,0.09,USDA
1/4/2019,110.92,2.42,18982.53,3286700,0,557287.7,4942027,-3.24,USDD
1/7/2019,107.68,2.4,19112.65,3260300,0,556643.7,5129912,0.27,USDA
1/10/2019,107.95,1.83,19202.31,3252800,0,543336.2,5138266,1.17,USDA
1/1/2020,109.12,1.55,18951.99,3442600,0,545000.2,5127767,-0.42,USDD
1/4/2020,108.7,0.05,17258.21,4844900,0,501140.4,5078486,-0.98,USDD
1/7/2020,107.72,0.09,18560.77,4700300,0,526742.1,5440233,-1.93,USDD
1/10/2020,105.79,0.09,18767.78,4917100,0,538909.2,5871952,-2.16,USDD
1/1/2021,103.63,0.09,19055.66,5248000,0,535012.5,6065491,7.07,USDA
1/4/2021,110.7,0.07,19368.31,6042100,0,537631,6133816,-0.2,USDD